timestamp,node_serial_number,session_id,sample_period,min_log_sequence,max_log_sequence,battery_level,battery_state,temperature_setpoint,control_temperature,control_device_type,control_device_serial,app_mode,control_device_connected,lid_open,fixed_speed,fan_state,fan_duty_cycle,fan_commanded_speed,fan_measured_speed,fan_off_time,fan_on_time,hop_count
2026-01-26T22:25:41.007241,ENGDEV0009,3980105984,5000,3855,3855,OK,NOT_CHARGING,156.0,37.7,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:25:44.815833,ENGDEV0009,3980105984,5000,3856,3856,OK,NOT_CHARGING,156.0,37.7,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:25:50.277757,ENGDEV0009,3980105984,5000,3857,3857,OK,NOT_CHARGING,156.0,37.7,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:25:56.184860,ENGDEV0009,3980105984,5000,3858,3858,OK,NOT_CHARGING,156.0,37.5,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:26:00.106847,ENGDEV0009,3980105984,5000,3859,3859,OK,NOT_CHARGING,156.0,37.4,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:26:04.543492,ENGDEV0009,3980105984,5000,3860,3860,OK,NOT_CHARGING,156.0,37.2,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:26:11.370533,ENGDEV0009,3980105984,5000,3861,3861,OK,NOT_CHARGING,156.0,37.2,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:26:14.827666,ENGDEV0009,3980105984,5000,3862,3862,OK,NOT_CHARGING,156.0,37.2,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:26:20.198910,ENGDEV0009,3980105984,5000,3863,3863,OK,NOT_CHARGING,156.0,37.2,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:26:25.087672,ENGDEV0009,3980105984,5000,3864,3864,OK,NOT_CHARGING,156.0,36.9,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:26:30.513626,ENGDEV0009,3980105984,5000,3865,3865,OK,NOT_CHARGING,156.0,36.9,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:26:35.899687,ENGDEV0009,3980105984,5000,3866,3866,OK,NOT_CHARGING,156.0,36.5,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:26:39.416022,ENGDEV0009,3980105984,5000,3867,3867,OK,NOT_CHARGING,156.0,36.4,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:26:44.750311,ENGDEV0009,3980105984,5000,3868,3868,OK,NOT_CHARGING,156.0,36.5,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:26:51.125545,ENGDEV0009,3980105984,5000,3869,3869,OK,NOT_CHARGING,156.0,36.2,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:26:55.055806,ENGDEV0009,3980105984,5000,3870,3870,OK,NOT_CHARGING,156.0,36.2,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:27:00.915410,ENGDEV0009,3980105984,5000,3871,3871,OK,NOT_CHARGING,156.0,35.7,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:27:04.830292,ENGDEV0009,3980105984,5000,3872,3872,OK,NOT_CHARGING,156.0,35.7,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:27:11.264972,ENGDEV0009,3980105984,5000,3873,3873,OK,NOT_CHARGING,156.0,35.5,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:27:14.727454,ENGDEV0009,3980105984,5000,3874,3874,OK,NOT_CHARGING,156.0,35.5,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:27:21.156422,ENGDEV0009,3980105984,5000,3875,3875,OK,NOT_CHARGING,156.0,35.4,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:27:25.555589,ENGDEV0009,3980105984,5000,3876,3876,OK,NOT_CHARGING,156.0,35.2,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:27:32.434486,ENGDEV0009,3980105984,5000,3877,3877,OK,NOT_CHARGING,156.0,35.0,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:27:34.878176,ENGDEV0009,3980105984,5000,3878,3878,OK,NOT_CHARGING,156.0,34.9,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:27:39.743738,ENGDEV0009,3980105984,5000,3879,3879,OK,NOT_CHARGING,156.0,34.7,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
